secondary_sample_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
1	ERS009705	PRJEB2136	ERP000190	SAMEA679502	ERX008948	ERR022525	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022525/ERR022525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022525/ERR022525_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015287/srf/5224_5_nonhuman.srf
2	ERS009706	PRJEB2136	ERP000190	SAMEA679507	ERX008958	ERR022526	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022526/ERR022526_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022526/ERR022526_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015287/srf/5224_6_nonhuman.srf
3	ERS009707	PRJEB2136	ERP000190	SAMEA679506	ERX008959	ERR022522	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022522/ERR022522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022522/ERR022522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015287/srf/5224_1_nonhuman.srf
4	ERS009708	PRJEB2136	ERP000190	SAMEA679511	ERX009100	ERR022694	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022694/ERR022694_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022694/ERR022694_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015356/srf/5241_1_nonhuman.srf
5	ERS009709	PRJEB2136	ERP000190	SAMEA679509	ERX008962	ERR022527	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022527/ERR022527_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022527/ERR022527_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015287/srf/5224_7_nonhuman.srf
6	ERS009710	PRJEB2136	ERP000190	SAMEA680192	ERX009103	ERR022695	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022695/ERR022695_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022695/ERR022695_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015356/srf/5241_2_nonhuman.srf
7	ERS009711	PRJEB2136	ERP000190	SAMEA680194	ERX009101	ERR022696	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022696/ERR022696_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022696/ERR022696_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015356/srf/5241_3_nonhuman.srf
8	ERS009713	PRJEB2136	ERP000190	SAMEA680190	ERX009099	ERR022700	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022700/ERR022700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022700/ERR022700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015356/srf/5241_8_nonhuman.srf
9	ERS009714	PRJEB2136	ERP000190	SAMEA680200	ERX009104	ERR022697	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022697/ERR022697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022697/ERR022697_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015356/srf/5241_5_nonhuman.srf
10	ERS009715	PRJEB2136	ERP000190	SAMEA680202	ERX009097	ERR022698	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022698/ERR022698_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022698/ERR022698_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA015/ERA015356/srf/5241_6_nonhuman.srf
