study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
PRJEB2136	ERP000190	SAMEA680462	ERS010505	ERX004854	ERR012220	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012220/ERR012220_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012220/ERR012220_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/3065_7_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680510	ERS010506	ERX004934	ERR012221	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012221/ERR012221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012221/ERR012221_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/3065_8_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680408	ERS010320	ERX004857	ERR012222	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012222/ERR012222_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012222/ERR012222_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1304_2_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679439	ERS010642	ERX004686	ERR012223	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012223/ERR012223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012223/ERR012223_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/4113_7_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680722	ERS010205	ERX004935	ERR012224	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012224/ERR012224_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012224/ERR012224_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/2744_2_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA678882	ERS010371	ERX004863	ERR012225	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012225/ERR012225_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012225/ERR012225_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1380_6_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680598	ERS010408	ERX004929	ERR012226	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012226/ERR012226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012226/ERR012226_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1333_3_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680514	ERS010452	ERX004745	ERR012227	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012227/ERR012227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012227/ERR012227_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/2575_5_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680608	ERS010402	ERX004835	ERR012228	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012228/ERR012228_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012228/ERR012228_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1345_8_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679037	ERS010471	ERX004765	ERR012229	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012229/ERR012229_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012229/ERR012229_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/2825_7_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679040	ERS010470	ERX004815	ERR012230	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012230/ERR012230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012230/ERR012230_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/2825_1_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680757	ERS010516	ERX004831	ERR012231	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012231/ERR012231_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012231/ERR012231_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/3310_7_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679434	ERS010644	ERX004826	ERR012232	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012232/ERR012232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012232/ERR012232_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/4034_8_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679705	ERS010349	ERX004737	ERR012233	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012233/ERR012233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012233/ERR012233_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1310_8_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679047	ERS010472	ERX004717	ERR012234	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012234/ERR012234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012234/ERR012234_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/2825_6_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679296	ERS010397	ERX004783	ERR012235	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012235/ERR012235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012235/ERR012235_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1304_5_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680052	ERS010417	ERX004807	ERR012236	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012236/ERR012236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012236/ERR012236_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1829_1_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680607	ERS010401	ERX004944	ERR012237	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012237/ERR012237_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012237/ERR012237_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1345_7_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA678870	ERS010372	ERX004720	ERR012238	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012238/ERR012238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012238/ERR012238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1256_8_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680221	ERS010556	ERX004855	ERR012239	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012239/ERR012239_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012239/ERR012239_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/3227_6_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679688	ERS010342	ERX004675	ERR012240	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012240/ERR012240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012240/ERR012240_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1003_5_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680783	ERS010448	ERX004918	ERR012241	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012241/ERR012241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012241/ERR012241_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/2564_7_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679491	ERS010493	ERX004941	ERR012242	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012242/ERR012242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012242/ERR012242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/3080_7_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680366	ERS010213	ERX004658	ERR012243	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012243/ERR012243_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012243/ERR012243_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/2744_6_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679713	ERS010447	ERX004928	ERR012244	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012244/ERR012244_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012244/ERR012244_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/2731_6_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA679705	ERS010349	ERX004768	ERR012245	5833	Plasmodium_falciparum	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012245/ERR012245_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012245/ERR012245_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/1310_7_nonhuman.srf	
PRJEB2136	ERP000190	SAMEA680391	ERS010487	ERX004734	ERR012246	57267	Plasmodium_falciparum_Dd2	Illumina_Genome_Analyzer_II	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012246/ERR012246_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012246/ERR012246_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA008/ERA008674/srf/3092_5_nonhuman.srf	
